dialog_id,speaker,text,gold_answers,possible_answers
2,XXXXX,The radio has too many comerials.,['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
2,OOOOO,That's true.,['React.Respond.Support.Reply.Agree'],"['React.Respond.Support.Develop.Extend', 'React.Respond.Support.Reply.Agree']"
2,OOOOO,but then you have to buy a record player.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'React.Respond.Confront.Reply.Disagree']"
3,OOOOO,Are you all right?,['Open.Demand.Fact'],"['Open.Demand.Fact', 'Open.Demand.Opinion']"
3,XXXXX,I will be all right soon.,['React.Rejoinder.Support.Response.Resolve'],"['React.Rejoinder.Support.Response.Resolve', 'React.Respond.Support.Reply.Acknowledge', 'React.Respond.Support.Reply.Affirm']"
3,XXXXX,I was terrified when I watched them fall from the wire.,"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
3,OOOOO,Don't worry.,['React.Respond.Support.Develop.Extend'],"['React.Respond.Support.Develop.Extend', 'React.Respond.Support.Register']"
3,XXXXX,I see.,"['React.Respond.Support.Register', 'React.Respond.Support.Reply.Acknowledge']","['React.Respond.Support.Register', 'React.Respond.Support.Reply.Acknowledge', 'React.Respond.Support.Reply.Agree']"
4,OOOOO,Hey John.,['Open.Attend'],['Open.Attend']
4,OOOOO,nice skates.,['Open.Give.Opinion'],"['Open.Give.Opinion', 'Open.Give.Fact']"
4,OOOOO,Are they new?,['React.Rejoinder.Support.Track.Clarify'],"['React.Rejoinder.Support.Track.Clarify', 'React.Rejoinder.Support.Track.Probe']"
4,XXXXX,Yeah.,['React.Respond.Support.Reply.Affirm'],['React.Respond.Support.Reply.Affirm']
4,XXXXX,I just got them.,['Sustain.Continue.Prolong.Elaborate'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Elaborate']"
4,XXXXX,I started playing ice hockey in a community league.,"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
4,XXXXX,So I finally got myself new skates.,['Sustain.Continue.Prolong.Enhance'],['Sustain.Continue.Prolong.Enhance']
4,OOOOO,What position do you play?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
4,XXXXX,I’m a defender.,['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
4,XXXXX,It’s a lot of fun.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Elaborate']"
4,XXXXX,You don’t have to be able to skate as fast on defense.,"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Elaborate']"
4,OOOOO,Yeah.,['React.Respond.Support.Reply.Acknowledge'],"['React.Respond.Support.Reply.Acknowledge', 'React.Respond.Support.Reply.Agree']"
4,OOOOO,you’re a pretty big guy.,"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend']","['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Elaborate']"
4,OOOOO,I play goalie myself.,['Sustain.Continue.Prolong.Extend'],['Sustain.Continue.Prolong.Extend']
4,XXXXX,"Oh, yeah?",['React.Rejoinder.Support.Track.Confirm'],['React.Rejoinder.Support.Track.Confirm']
4,XXXXX,Which team?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
4,OOOOO,The Rockets.,['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
4,XXXXX,Really?,['React.Rejoinder.Support.Track.Confirm'],['React.Rejoinder.Support.Track.Confirm']
4,XXXXX,I think we play you guys next week.,['Sustain.Continue.Prolong.Extend'],['Sustain.Continue.Prolong.Extend']
4,XXXXX,"Well, I have to go to practice.",['Sustain.Continue.Prolong.Extend'],['Sustain.Continue.Prolong.Extend']
4,XXXXX,See you later.,['React.Rejoinder.Confront.Challenge.Detach'],['React.Rejoinder.Confront.Challenge.Detach']
4,OOOOO,"All right, see you later.",['React.Rejoinder.Confront.Challenge.Detach'],['React.Rejoinder.Confront.Challenge.Detach']
5,OOOOO,Hey Lydia.,['Open.Attend'],['Open.Attend']
5,OOOOO,what are you reading?,['Open.Demand.Fact'],['Open.Demand.Fact']
5,XXXXX,I’m looking at my horoscope for this month!,['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
5,XXXXX,My outlook is very positive.,['Sustain.Continue.Prolong.Extend'],['Sustain.Continue.Prolong.Extend']
5,XXXXX,"It says that I should take a vacation to someplace exotic, and that I will have a passionate summer fling!","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
5,OOOOO,What are you talking about?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
5,OOOOO,Let me see that... What are horoscopes?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
5,XXXXX,"It’s a prediction of your month, based on your zodiac sign.",['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
5,XXXXX,You have a different sign for the month and date you were born in.,"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
5,XXXXX,"I was born on April 15th, so I’m an Aries.","['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
5,XXXXX,When were you born?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
5,OOOOO,January 5th.,['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
5,XXXXX,Let’s see... you’re a Capricorn.,['React.Respond.Support.Develop.Extend'],"['React.Respond.Support.Develop.Extend', 'React.Respond.Support.Develop.Enhance', 'React.Respond.Support.Develop.Elaborate']"
5,XXXXX,"It says that you will be feeling stress at work, but you could see new, exciting developments in your love life.",['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
5,XXXXX,Looks like we’ll both have interesting summers!,"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
5,OOOOO,That’s bogus.,"['React.Respond.Support.Register', 'React.Respond.Support.Develop.Extend']","['React.Respond.Support.Register', 'React.Respond.Support.Develop.Extend', 'React.Respond.Confront.Reply.Disagree']"
5,OOOOO,"I don't feel any stress at work, and my love life is practically nonexistent.","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
5,OOOOO,This zodiac stuff is all a bunch of nonsense.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
5,XXXXX,"No, it’s not, your astrology sign can tell you a lot about your personality.",['React.Respond.Confront.Reply.Disagree'],"['React.Respond.Confront.Reply.Disagree', 'React.Respond.Confront.Reply.Contradict']"
5,XXXXX,See?,['Sustain.Continue.Monitor'],['Sustain.Continue.Monitor']
5,XXXXX,It says that an Aries is energetic and loves to socialize.,"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate']","['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate']"
5,OOOOO,"Well, you certainly match those criteria, but they’re so broad they could apply to anyone.",['React.Respond.Support.Develop.Extend'],"['React.Respond.Support.Develop.Extend', 'React.Respond.Support.Reply.Agree', 'React.Respond.Confront.Reply.Disagree', 'React.Respond.Confront.Reply.Contradict']"
5,OOOOO,What does it say about me?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
5,XXXXX,A Capricorn is serious-minded and practical.,['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
5,XXXXX,She likes to do things in conventional ways.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
5,XXXXX,That sounds just like you!,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'React.Respond.Support.Register']"
6,OOOOO,Frank’s getting married.,['Open.Give.Fact'],['Open.Give.Fact']
6,OOOOO,do you believe this?,['Open.Demand.Opinion'],"['Open.Demand.Opinion', 'Open.Demand.Fact']"
6,XXXXX,Is he really?,['React.Rejoinder.Support.Track.Confirm'],['React.Rejoinder.Support.Track.Confirm']
6,OOOOO,"Yes, he is.",['React.Respond.Support.Reply.Affirm'],['React.Respond.Support.Reply.Affirm']
6,OOOOO,He loves the girl very much.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
6,XXXXX,Who is he marring?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
6,OOOOO,"A girl he met on holiday in Spain, I think.",['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
6,XXXXX,Have they set a date for the wedding?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
6,OOOOO,Not yet.,['React.Respond.Confront.Reply.Contradict'],"['React.Respond.Confront.Reply.Disagree', 'React.Respond.Confront.Reply.Contradict']"
7,OOOOO,I hear you bought a new house in the northern suburbs.,['Open.Demand.Fact'],"['Open.Give.Fact', 'Open.Demand.Fact']"
7,XXXXX,That’s right.,['React.Respond.Support.Reply.Affirm'],"['React.Respond.Support.Reply.Agree', 'React.Respond.Support.Reply.Affirm', 'React.Respond.Support.Reply.Acknowledge']"
7,XXXXX,we bought it the same day we came on the market.,['Sustain.Continue.Prolong.Enhance'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
7,OOOOO,What kind of house is it?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
7,XXXXX,It’s a wonderful Spanish style.,['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
7,OOOOO,Oh.,['React.Respond.Support.Register'],['React.Respond.Support.Register']
7,OOOOO,I love the roof tiles on Spanish style houses.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
7,XXXXX,And it’s a bargaining.,['React.Respond.Support.Develop.Extend'],['React.Respond.Support.Develop.Extend']
7,XXXXX,A house like this in river side costs double the price.,"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
7,OOOOO,Great.,['React.Respond.Support.Register'],['React.Respond.Support.Register']
7,OOOOO,is it a two bedroom house?,['React.Rejoinder.Support.Track.Probe'],"['React.Rejoinder.Support.Track.Clarify', 'React.Rejoinder.Support.Track.Probe']"
7,XXXXX,No.,['React.Respond.Confront.Reply.Disagree'],"['React.Respond.Confront.Reply.Disagree', 'React.Respond.Confront.Reply.Contradict']"
7,XXXXX,it has three bedrooms and three beds and has a living room with a twelve-foot ceiling.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
7,XXXXX,There’s a two-car garage.,['Sustain.Continue.Prolong.Extend'],['Sustain.Continue.Prolong.Extend']
7,OOOOO,That’s a nice area too.,['React.Respond.Support.Develop.Extend'],['React.Respond.Support.Develop.Extend']
7,OOOOO,It’ll be a good investment for you.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
7,XXXXX,Yeas.,['React.Respond.Support.Reply.Agree'],['React.Respond.Support.Reply.Agree']
7,XXXXX,when will you buy a house?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
7,OOOOO,"Not untill the end of this year, you know, just before my wedding.",['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
7,XXXXX,Right.,['React.Respond.Support.Register'],"['React.Respond.Support.Register', 'React.Respond.Support.Reply.Acknowledge ']"
7,XXXXX,congratulations.,"['React.Respond.Support.Register', 'Sustain.Continue.Prolong.Extend']","['React.Respond.Support.Register', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
7,OOOOO,Thank you.,['React.Respond.Support.Reply.Accept'],['React.Respond.Support.Reply.Accept']
8,OOOOO,Hi Becky.,['Open.Attend'],['Open.Attend']
8,OOOOO,what's up?,['Open.Demand.Fact'],['Open.Demand.Fact']
8,XXXXX,"Not much, except that my mother-in-law is driving me up the wall.",['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
8,OOOOO,What's the problem?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
8,XXXXX,She loves to nit-pick and criticizes everything that I do.,['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
8,XXXXX,I can never do anything right when she's around.,['Sustain.Continue.Prolong.Elaborate'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
8,OOOOO,For example?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
8,XXXXX,"Well, last week I invited her over to dinner.",['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
8,XXXXX,"My husband and I had no problem with the food, but if you listened to her, then it would seem like I fed her old meat and rotten vegetables.",['Sustain.Continue.Prolong.Extend'],['Sustain.Continue.Prolong.Extend']
8,XXXXX,There's just nothing can please her.,"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
8,OOOOO,No.,['React.Respond.Confront.Reply.Disavow'],"['React.Respond.Confront.Reply.Disavow', 'React.Rejoinder.Confront.Challenge.Counter', 'React.Respond.Confront.Reply.Contradict']"
8,OOOOO,I can't see that happening.,"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Extend']"
8,OOOOO,I know you're a good cook and nothing like that would ever happen.,"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Extend']"
8,XXXXX,It's not just that.,['React.Respond.Support.Develop.Extend'],"['React.Respond.Support.Develop.Extend', 'React.Rejoinder.Confront.Challenge.Counter']"
8,XXXXX,She also criticizes how we raise the kids.,"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
8,OOOOO,My mother-in-law used to do the same thing to us.,['React.Respond.Support.Develop.Extend'],['React.Respond.Support.Develop.Extend']
8,OOOOO,"If it wasn't disciplining them enough, then we were disciplining them too much.","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Extend']"
8,OOOOO,"She also complained about the food we fed them, the schools we sent them too, and everything else under the sun.",['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Extend']"
9,OOOOO,How are Zina's new programmers working out?,['Open.Demand.Opinion'],"['Open.Demand.Opinion', 'Open.Demand.Fact']"
9,XXXXX,"I hate to admit it, but they're good.",['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
9,XXXXX,And fast.,['Sustain.Continue.Prolong.Extend'],['Sustain.Continue.Prolong.Extend']
9,XXXXX,The Filipino kid is a genius.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
9,OOOOO,"So you'll make the Stars.com deadline, and have us up and running next week?",['React.Rejoinder.Support.Track.Probe'],"['React.Rejoinder.Support.Track.Probe', 'React.Rejoinder.Support.Track.Clarify']"
9,XXXXX,It'll be close but we'll make it.,"['React.Rejoinder.Support.Response.Resolve', 'React.Respond.Support.Reply.Affirm']","['React.Rejoinder.Support.Response.Resolve', 'React.Respond.Support.Reply.Affirm', 'React.Respond.Support.Reply.Agree']"
9,OOOOO,Good.,['React.Respond.Support.Register'],['React.Respond.Support.Register']
9,OOOOO,After Stars.com starts paying us we won't need Vikam's cash anymore.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
9,XXXXX,"And if we don't need them, we won't need Zina, either.",['React.Respond.Support.Develop.Extend'],['React.Respond.Support.Develop.Extend']
101,OOOOO,What did you say?,['Open.Demand.Fact'],['Open.Demand.Fact']
101,XXXXX,I said it's a lovely day.,['React.Rejoinder.Support.Response.Resolve'],['React.Rejoinder.Support.Response.Resolve']
101,XXXXX,Why don't we go for a walk?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
101,OOOOO,"Well, I feel a little tired.",['React.Respond.Confront.Reply.Disagree'],"['React.Rejoinder.Confront.Challenge.Detach', 'React.Respond.Confront.Reply.Disagree']"
101,XXXXX,Come on!,['React.Respond.Support.Register'],['React.Respond.Support.Register']
101,XXXXX,"A little labor, much health.","['Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Extend']","['Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Elaborate']"
101,OOOOO,Then can you wait a few minutes?,['React.Rejoinder.Support.Track.Clarify'],"['React.Rejoinder.Support.Track.Clarify', 'React.Rejoinder.Support.Track.Confirm', 'React.Rejoinder.Support.Track.Probe']"
101,OOOOO,I want to finish writing this letter.,"['Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Elaborate']","['Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Elaborate']"
101,XXXXX,Don't take too long.,['React.Respond.Support.Develop.Extend'],"['React.Respond.Support.Develop.Extend', 'React.Respond.Support.Develop.Elaborate', 'React.Respond.Support.Develop.Enhance']"
101,XXXXX,It would be a shame not to take advantage of such lovely weather.,['Sustain.Continue.Prolong.Enhance'],"['React.Respond.Support.Develop.Extend', 'React.Respond.Support.Develop.Elaborate', 'React.Respond.Support.Develop.Enhance']"
101,OOOOO,I won't be long.,['React.Respond.Support.Reply.Agree'],"['React.Respond.Support.Reply.Agree', 'React.Respond.Support.Develop.Extend']"
101,OOOOO,No more than ten minutes.,"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
